"transactionid","customerid","date","productid","price","qty","totalamount","storeid","age","gender","income","maritalstatus","productname","price-2","storename","latitude","longitude"
"TR80326                                           ","269                                               ","2022-01-09","P8                                                ",16000,1,16000,"2                                                 ",39,"Male                ",6.3,"Married                                           ","Oat                                               ",16000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR858                                             ","340                                               ","2022-01-09","P8                                                ",16000,2,32000,"14                                                ",41,"Female              ",10.9,"Single                                            ","Oat                                               ",16000,"Priangan                                          ",-5.45,105.26667
"TR8878                                            ","415                                               ","2022-01-09","P5                                                ",4200,3,12600,"9                                                 ",44,"Female              ",18.57,"Married                                           ","Thai Tea                                          ",4200,"Lingga                                            ",-3.654703,128.190643
"TR89449                                           ","178                                               ","2022-01-09","P5                                                ",4200,2,8400,"11                                                ",43,"Female              ",9.58,"Married                                           ","Thai Tea                                          ",4200,"Sinar Harapan                                     ",0.533505,101.447403
"TR91332                                           ","385                                               ","2022-01-09","P9                                                ",10000,1,10000,"10                                                ",41,"Male                ",15.84,"Married                                           ","Yoghurt                                           ",10000,"Harapan Baru                                      ",3.597031,98.678513
"TR91669                                           ","241                                               ","2022-01-09","P5                                                ",4200,5,21000,"2                                                 ",24,"Male                ",0.57,"Single                                            ","Thai Tea                                          ",4200,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR3291                                            ","13                                                ","2022-01-10","P4                                                ",12000,5,60000,"14                                                ",23,"Female              ",2.3,"Single                                            ","Potato Chip                                       ",12000,"Priangan                                          ",-5.45,105.26667
"TR45059                                           ","17                                                ","2022-01-10","P1                                                ",8800,6,52800,"9                                                 ",35,"Female              ",3.14,"Married                                           ","Choco Bar                                         ",8800,"Lingga                                            ",-3.654703,128.190643
"TR47932                                           ","122                                               ","2022-01-10","P7                                                ",9400,3,28200,"7                                                 ",26,"Male                ",0.14,"Single                                            ","Coffee Candy                                      ",9400,"Buana Indah                                       ",3.316694,114.590111
"TR57616                                           ","446                                               ","2022-01-10","P1                                                ",8800,7,61600,"2                                                 ",57,"Female              ",7.81,"Married                                           ","Choco Bar                                         ",8800,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR59952                                           ","321                                               ","2022-01-10","P4                                                ",12000,5,60000,"14                                                ",45,"Female              ",8.3,"Married                                           ","Potato Chip                                       ",12000,"Priangan                                          ",-5.45,105.26667
"TR6445                                            ","181                                               ","2022-01-10","P3                                                ",7500,4,30000,"12                                                ",33,"Male                ",9.94,"Married                                           ","Crackers                                          ",7500,"Prestasi Utama                                    ",-2.990934,104.756554
"TR69307                                           ","23                                                ","2022-01-10","P8                                                ",16000,1,16000,"1                                                 ",57,"Male                ",12.56,"Married                                           ","Oat                                               ",16000,"Prima Tendean                                     ",-6.2,106.816666
"TR69902                                           ","108                                               ","2022-01-10","P7                                                ",9400,2,18800,"9                                                 ",25,"Female              ",6.87,"Single                                            ","Coffee Candy                                      ",9400,"Lingga                                            ",-3.654703,128.190643
"TR7250                                            ","49                                                ","2022-01-10","P1                                                ",8800,7,61600,"11                                                ",44,"Male                ",13.48,"Married                                           ","Choco Bar                                         ",8800,"Sinar Harapan                                     ",0.533505,101.447403
"TR77811                                           ","329                                               ","2022-01-10","P10                                               ",15000,2,30000,"4                                                 ",19,"Male                ",0,"Single                                            ","Cheese Stick                                      ",15000,"Gita Ginara                                       ",-6.966667,110.416664
"TR80374                                           ","223                                               ","2022-01-10","P8                                                ",16000,3,48000,"10                                                ",62,"Male                ",5.35,"Single                                            ","Oat                                               ",16000,"Harapan Baru                                      ",3.597031,98.678513
"TR82224                                           ","246                                               ","2022-01-10","P2                                                ",3200,3,9600,"12                                                ",40,"Male                ",21.81,"Single                                            ","Ginger Candy                                      ",3200,"Prestasi Utama                                    ",-2.990934,104.756554
"TR8236                                            ","249                                               ","2022-01-10","P2                                                ",3200,6,19200,"7                                                 ",47,"Female              ",13.34,"Married                                           ","Ginger Candy                                      ",3200,"Buana Indah                                       ",3.316694,114.590111
"TR8369                                            ","64                                                ","2022-01-10","P3                                                ",7500,1,7500,"4                                                 ",48,"Male                ",7.92,"Married                                           ","Crackers                                          ",7500,"Gita Ginara                                       ",-6.966667,110.416664
"TR86436                                           ","26                                                ","2022-01-10","P10                                               ",15000,1,15000,"14                                                ",45,"Male                ",7.83,"Married                                           ","Cheese Stick                                      ",15000,"Priangan                                          ",-5.45,105.26667
"TR88217                                           ","442                                               ","2022-01-10","P9                                                ",10000,1,10000,"8                                                 ",42,"Male                ",14.88,"Married                                           ","Yoghurt                                           ",10000,"Sinar Harapan                                     ",5.54829,95.323753
"TR95284                                           ","229                                               ","2022-01-10","P2                                                ",3200,3,9600,"2                                                 ",32,"Female              ",10.17,"Married                                           ","Ginger Candy                                      ",3200,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR18566                                           ","8                                                 ","2022-01-11","P3                                                ",7500,3,22500,"8                                                 ",37,"Male                ",5.49,"Married                                           ","Crackers                                          ",7500,"Sinar Harapan                                     ",5.54829,95.323753
"TR23232                                           ","168                                               ","2022-01-11","P2                                                ",3200,6,19200,"1                                                 ",27,"Female              ",4.88,"Married                                           ","Ginger Candy                                      ",3200,"Prima Tendean                                     ",-6.2,106.816666
"TR36166                                           ","256                                               ","2022-01-11","P10                                               ",15000,5,75000,"12                                                ",56,"Female              ",7.9,"Married                                           ","Cheese Stick                                      ",15000,"Prestasi Utama                                    ",-2.990934,104.756554
"TR36685                                           ","196                                               ","2022-01-11","P2                                                ",3200,6,19200,"2                                                 ",34,"Female              ",3.17,"Married                                           ","Ginger Candy                                      ",3200,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR40960                                           ","394                                               ","2022-01-11","P6                                                ",18000,1,18000,"4                                                 ",50,"Female              ",7.19,"Married                                           ","Cashew                                            ",18000,"Gita Ginara                                       ",-6.966667,110.416664
"TR47732                                           ","329                                               ","2022-01-11","P2                                                ",3200,6,19200,"4                                                 ",19,"Male                ",0,"Single                                            ","Ginger Candy                                      ",3200,"Gita Ginara                                       ",-6.966667,110.416664
"TR57918                                           ","72                                                ","2022-01-11","P4                                                ",12000,5,60000,"6                                                 ",26,"Female              ",1.81,"Single                                            ","Potato Chip                                       ",12000,"Lingga                                            ",-5.135399,119.42379
"TR59286                                           ","278                                               ","2022-01-11","P7                                                ",9400,6,56400,"8                                                 ",31,"Male                ",9.76,"Married                                           ","Coffee Candy                                      ",9400,"Sinar Harapan                                     ",5.54829,95.323753
"TR63021                                           ","393                                               ","2022-01-11","P8                                                ",16000,1,16000,"12                                                ",22,"Female              ",0,"Single                                            ","Oat                                               ",16000,"Prestasi Utama                                    ",-2.990934,104.756554
"TR64748                                           ","232                                               ","2022-01-11","P5                                                ",4200,4,16800,"9                                                 ",62,"Female              ",7.32,"Married                                           ","Thai Tea                                          ",4200,"Lingga                                            ",-3.654703,128.190643
"TR6627                                            ","339                                               ","2022-01-11","P9                                                ",10000,6,60000,"10                                                ",22,"Female              ",2.19,"Single                                            ","Yoghurt                                           ",10000,"Harapan Baru                                      ",3.597031,98.678513
"TR71791                                           ","295                                               ","2022-01-11","P7                                                ",9400,5,47000,"3                                                 ",34,"Female              ",4.78,"Married                                           ","Coffee Candy                                      ",9400,"Prima Kota                                        ",-7.797068,110.370529
"TR75052                                           ","151                                               ","2022-01-11","P3                                                ",7500,1,7500,"2                                                 ",42,"Female              ",10.38,"Married                                           ","Crackers                                          ",7500,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR76046                                           ","16                                                ","2022-01-11","P8                                                ",16000,2,32000,"1                                                 ",52,"Female              ",11.8,"Married                                           ","Oat                                               ",16000,"Prima Tendean                                     ",-6.2,106.816666
"TR84499                                           ","312                                               ","2022-01-11","P3                                                ",7500,3,22500,"2                                                 ",54,"Female              ",18.77,"Married                                           ","Crackers                                          ",7500,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR85582                                           ","145                                               ","2022-01-11","P5                                                ",4200,4,16800,"14                                                ",37,"Female              ",14.59,"Single                                            ","Thai Tea                                          ",4200,"Priangan                                          ",-5.45,105.26667
"TR93692                                           ","244                                               ","2022-01-11","P5                                                ",4200,5,21000,"10                                                ",21,"Male                ",3.64,"Single                                            ","Thai Tea                                          ",4200,"Harapan Baru                                      ",3.597031,98.678513
"TR94450                                           ","213                                               ","2022-01-11","P3                                                ",7500,6,45000,"4                                                 ",24,"Male                ",5.72,"Single                                            ","Crackers                                          ",7500,"Gita Ginara                                       ",-6.966667,110.416664
"TR24515                                           ","347                                               ","2022-01-12","P10                                               ",15000,2,30000,"7                                                 ",26,"Male                ",3.69,"Single                                            ","Cheese Stick                                      ",15000,"Buana Indah                                       ",3.316694,114.590111
"TR24817                                           ","287                                               ","2022-01-12","P3                                                ",7500,1,7500,"8                                                 ",36,"Female              ",3.7,"Single                                            ","Crackers                                          ",7500,"Sinar Harapan                                     ",5.54829,95.323753
"TR25833                                           ","135                                               ","2022-01-12","P2                                                ",3200,4,12800,"5                                                 ",41,"Female              ",3.28,"Married                                           ","Ginger Candy                                      ",3200,"Bonafid                                           ",-7.250445,112.768845
"TR28633                                           ","201                                               ","2022-01-12","P9                                                ",10000,6,60000,"2                                                 ",57,"Female              ",6.87,"Married                                           ","Yoghurt                                           ",10000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR39671                                           ","52                                                ","2022-01-12","P10                                               ",15000,2,30000,"7                                                 ",37,"Female              ",3.73,"Married                                           ","Cheese Stick                                      ",15000,"Buana Indah                                       ",3.316694,114.590111
"TR4401                                            ","342                                               ","2022-01-12","P4                                                ",12000,5,60000,"3                                                 ",48,"Male                ",13.55,"Married                                           ","Potato Chip                                       ",12000,"Prima Kota                                        ",-7.797068,110.370529
"TR49649                                           ","154                                               ","2022-01-12","P10                                               ",15000,1,15000,"10                                                ",31,"Female              ",8.36,"Married                                           ","Cheese Stick                                      ",15000,"Harapan Baru                                      ",3.597031,98.678513
"TR69772                                           ","112                                               ","2022-01-12","P8                                                ",16000,1,16000,"5                                                 ",31,"Male                ",4.44,"Married                                           ","Oat                                               ",16000,"Bonafid                                           ",-7.250445,112.768845
"TR76028                                           ","301                                               ","2022-01-12","P1                                                ",8800,8,70400,"4                                                 ",60,"Female              ",8.97,"Married                                           ","Choco Bar                                         ",8800,"Gita Ginara                                       ",-6.966667,110.416664
"TR9420                                            ","28                                                ","2022-01-12","P8                                                ",16000,3,48000,"9                                                 ",55,"Female              ",6.8,"Married                                           ","Oat                                               ",16000,"Lingga                                            ",-3.654703,128.190643
"TR94326                                           ","167                                               ","2022-01-12","P9                                                ",10000,2,20000,"13                                                ",28,"Male                ",2.91,"Married                                           ","Yoghurt                                           ",10000,"Buana                                             ",-1.26916,116.825264
"TR17988                                           ","112                                               ","2022-01-13","P6                                                ",18000,1,18000,"2                                                 ",31,"Male                ",4.44,"Married                                           ","Cashew                                            ",18000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR23621                                           ","156                                               ","2022-01-13","P7                                                ",9400,2,18800,"6                                                 ",44,"Female              ",3.87,"Married                                           ","Coffee Candy                                      ",9400,"Lingga                                            ",-5.135399,119.42379
"TR31421                                           ","427                                               ","2022-01-13","P6                                                ",18000,3,54000,"2                                                 ",54,"Female              ",16.88,"Married                                           ","Cashew                                            ",18000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR33225                                           ","286                                               ","2022-01-13","P1                                                ",8800,3,26400,"4                                                 ",60,"Female              ",6.19,"Married                                           ","Choco Bar                                         ",8800,"Gita Ginara                                       ",-6.966667,110.416664
"TR37826                                           ","149                                               ","2022-01-13","P7                                                ",9400,6,56400,"6                                                 ",61,"Male                ",3.96,"Married                                           ","Coffee Candy                                      ",9400,"Lingga                                            ",-5.135399,119.42379
"TR48412                                           ","275                                               ","2022-01-13","P4                                                ",12000,2,24000,"3                                                 ",41,"Female              ",15.33,"Married                                           ","Potato Chip                                       ",12000,"Prima Kota                                        ",-7.797068,110.370529
"TR61271                                           ","442                                               ","2022-01-13","P1                                                ",8800,3,26400,"12                                                ",42,"Male                ",14.88,"Married                                           ","Choco Bar                                         ",8800,"Prestasi Utama                                    ",-2.990934,104.756554
"TR75546                                           ","34                                                ","2022-01-13","P5                                                ",4200,4,16800,"6                                                 ",45,"Female              ",6.36,"Married                                           ","Thai Tea                                          ",4200,"Lingga                                            ",-5.135399,119.42379
"TR83152                                           ","420                                               ","2022-01-13","P10                                               ",15000,1,15000,"10                                                ",48,"Male                ",6.1,"Single                                            ","Cheese Stick                                      ",15000,"Harapan Baru                                      ",3.597031,98.678513
"TR97807                                           ","324                                               ","2022-01-13","P6                                                ",18000,3,54000,"12                                                ",36,"Male                ",10.59,"Married                                           ","Cashew                                            ",18000,"Prestasi Utama                                    ",-2.990934,104.756554
"TR16701                                           ","426                                               ","2022-01-14","P4                                                ",12000,1,12000,"14                                                ",19,"Female              ",2.16,"Single                                            ","Potato Chip                                       ",12000,"Priangan                                          ",-5.45,105.26667
"TR19443                                           ","295                                               ","2022-01-14","P9                                                ",10000,6,60000,"2                                                 ",34,"Female              ",4.78,"Married                                           ","Yoghurt                                           ",10000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR22474                                           ","231                                               ","2022-01-14","P3                                                ",7500,2,15000,"8                                                 ",51,"Male                ",16.59,"Married                                           ","Crackers                                          ",7500,"Sinar Harapan                                     ",5.54829,95.323753
"TR43117                                           ","267                                               ","2022-01-14","P10                                               ",15000,4,60000,"1                                                 ",22,"Female              ",0,"Single                                            ","Cheese Stick                                      ",15000,"Prima Tendean                                     ",-6.2,106.816666
"TR63072                                           ","210                                               ","2022-01-14","P7                                                ",9400,5,47000,"3                                                 ",33,"Female              ",10.9,"Married                                           ","Coffee Candy                                      ",9400,"Prima Kota                                        ",-7.797068,110.370529
"TR68172                                           ","131                                               ","2022-01-14","P5                                                ",4200,5,21000,"14                                                ",25,"Female              ",7.12,"Single                                            ","Thai Tea                                          ",4200,"Priangan                                          ",-5.45,105.26667
"TR82815                                           ","206                                               ","2022-01-14","P7                                                ",9400,3,28200,"9                                                 ",68,"Female              ",8.3,"Married                                           ","Coffee Candy                                      ",9400,"Lingga                                            ",-3.654703,128.190643
"TR88153                                           ","303                                               ","2022-01-14","P5                                                ",4200,3,12600,"1                                                 ",45,"Female              ",10.34,"Married                                           ","Thai Tea                                          ",4200,"Prima Tendean                                     ",-6.2,106.816666
"TR94606                                           ","329                                               ","2022-01-14","P10                                               ",15000,2,30000,"13                                                ",19,"Male                ",0,"Single                                            ","Cheese Stick                                      ",15000,"Buana                                             ",-1.26916,116.825264
"TR11326                                           ","433                                               ","2022-01-15","P9                                                ",10000,2,20000,"11                                                ",48,"Male                ",11.97,"Married                                           ","Yoghurt                                           ",10000,"Sinar Harapan                                     ",0.533505,101.447403
"TR13287                                           ","2                                                 ","2022-01-15","P5                                                ",4200,2,8400,"9                                                 ",60,"Male                ",6.23,"Married                                           ","Thai Tea                                          ",4200,"Lingga                                            ",-3.654703,128.190643
"TR14344                                           ","300                                               ","2022-01-15","P7                                                ",9400,2,18800,"4                                                 ",25,"Male                ",4.22,"Single                                            ","Coffee Candy                                      ",9400,"Gita Ginara                                       ",-6.966667,110.416664
"TR1445                                            ","171                                               ","2022-01-15","P5                                                ",4200,3,12600,"13                                                ",40,"Female              ",10.5,"Married                                           ","Thai Tea                                          ",4200,"Buana                                             ",-1.26916,116.825264
"TR16248                                           ","130                                               ","2022-01-15","P2                                                ",3200,7,22400,"10                                                ",40,"Female              ",9.73,"Married                                           ","Ginger Candy                                      ",3200,"Harapan Baru                                      ",3.597031,98.678513
"TR21056                                           ","62                                                ","2022-01-15","P8                                                ",16000,3,48000,"5                                                 ",51,"Male                ",13.62,"Married                                           ","Oat                                               ",16000,"Bonafid                                           ",-7.250445,112.768845
"TR30914                                           ","241                                               ","2022-01-15","P3                                                ",7500,5,37500,"2                                                 ",24,"Male                ",0.57,"Single                                            ","Crackers                                          ",7500,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR32340                                           ","121                                               ","2022-01-15","P5                                                ",4200,3,12600,"4                                                 ",26,"Female              ",2.93,"Single                                            ","Thai Tea                                          ",4200,"Gita Ginara                                       ",-6.966667,110.416664
"TR33508                                           ","234                                               ","2022-01-15","P4                                                ",12000,5,60000,"8                                                 ",61,"Male                ",10.86,"Married                                           ","Potato Chip                                       ",12000,"Sinar Harapan                                     ",5.54829,95.323753
"TR34660                                           ","85                                                ","2022-01-15","P10                                               ",15000,5,75000,"2                                                 ",59,"Male                ",7.89,"Married                                           ","Cheese Stick                                      ",15000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR37177                                           ","93                                                ","2022-01-15","P5                                                ",4200,3,12600,"8                                                 ",32,"Female              ",4.85,"Married                                           ","Thai Tea                                          ",4200,"Sinar Harapan                                     ",5.54829,95.323753
"TR37379                                           ","48                                                ","2022-01-15","P10                                               ",15000,5,75000,"2                                                 ",32,"Female              ",10.62,"Married                                           ","Cheese Stick                                      ",15000,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR38169                                           ","444                                               ","2022-01-15","P4                                                ",12000,1,12000,"9                                                 ",53,"Female              ",15.31,"Married                                           ","Potato Chip                                       ",12000,"Lingga                                            ",-3.654703,128.190643
"TR41344                                           ","306                                               ","2022-01-15","P8                                                ",16000,2,32000,"1                                                 ",49,"Female              ",16.52,"Married                                           ","Oat                                               ",16000,"Prima Tendean                                     ",-6.2,106.816666
"TR44149                                           ","197                                               ","2022-01-15","P4                                                ",12000,2,24000,"8                                                 ",51,"Female              ",13.33,"Married                                           ","Potato Chip                                       ",12000,"Sinar Harapan                                     ",5.54829,95.323753
"TR54663                                           ","361                                               ","2022-01-15","P1                                                ",8800,8,70400,"1                                                 ",26,"Male                ",0.6,"Single                                            ","Choco Bar                                         ",8800,"Prima Tendean                                     ",-6.2,106.816666
"TR65307                                           ","443                                               ","2022-01-15","P5                                                ",4200,4,16800,"4                                                 ",33,"Male                ",9.28,"Not Mentioned                                     ","Thai Tea                                          ",4200,"Gita Ginara                                       ",-6.966667,110.416664
"TR71470                                           ","217                                               ","2022-01-15","P10                                               ",15000,5,75000,"14                                                ",39,"Male                ",6.96,"Single                                            ","Cheese Stick                                      ",15000,"Priangan                                          ",-5.45,105.26667
"TR71650                                           ","142                                               ","2022-01-15","P5                                                ",4200,5,21000,"7                                                 ",23,"Male                ",1.58,"Single                                            ","Thai Tea                                          ",4200,"Buana Indah                                       ",3.316694,114.590111
"TR76485                                           ","434                                               ","2022-01-15","P9                                                ",10000,3,30000,"5                                                 ",37,"Female              ",9.33,"Married                                           ","Yoghurt                                           ",10000,"Bonafid                                           ",-7.250445,112.768845
"TR85027                                           ","216                                               ","2022-01-15","P2                                                ",3200,6,19200,"1                                                 ",30,"Female              ",4.82,"Married                                           ","Ginger Candy                                      ",3200,"Prima Tendean                                     ",-6.2,106.816666
"TR8647                                            ","378                                               ","2022-01-15","P1                                                ",8800,9,79200,"9                                                 ",54,"Female              ",14.66,"Married                                           ","Choco Bar                                         ",8800,"Lingga                                            ",-3.654703,128.190643
"TR88822                                           ","59                                                ","2022-01-15","P7                                                ",9400,3,28200,"1                                                 ",46,"Male                ",10.57,"Married                                           ","Coffee Candy                                      ",9400,"Prima Tendean                                     ",-6.2,106.816666
"TR96420                                           ","351                                               ","2022-01-15","P9                                                ",10000,5,50000,"8                                                 ",45,"Male                ",18.34,"Married                                           ","Yoghurt                                           ",10000,"Sinar Harapan                                     ",5.54829,95.323753
"TR98224                                           ","40                                                ","2022-01-15","P6                                                ",18000,4,72000,"10                                                ",19,"Female              ",3.48,"Single                                            ","Cashew                                            ",18000,"Harapan Baru                                      ",3.597031,98.678513
"TR1576                                            ","138                                               ","2022-01-16","P1                                                ",8800,2,17600,"7                                                 ",37,"Male                ",8.96,"Married                                           ","Choco Bar                                         ",8800,"Buana Indah                                       ",3.316694,114.590111
"TR16100                                           ","184                                               ","2022-01-16","P9                                                ",10000,5,50000,"11                                                ",33,"Female              ",13.93,"Single                                            ","Yoghurt                                           ",10000,"Sinar Harapan                                     ",0.533505,101.447403
"TR17745                                           ","150                                               ","2022-01-16","P2                                                ",3200,5,16000,"2                                                 ",61,"Male                ",8.56,"Married                                           ","Ginger Candy                                      ",3200,"Prima Kelapa Dua                                  ",-6.914864,107.608238
"TR19359                                           ","105                                               ","2022-01-16","P10                                               ",15000,5,75000,"13                                                ",61,"Female              ",7.54,"Married                                           ","Cheese Stick                                      ",15000,"Buana                                             ",-1.26916,116.825264
